episode,reward
0,-103.93399807373137
1,-150.69831561315647
2,-116.60481711206234
3,-320.1456658316296
4,-181.71260845946142
5,-235.8251724148435
6,-86.38436116101659
7,-308.4354687991413
8,-154.51124498640993
9,-87.0405044846367
10,-152.47536805399713
11,-308.81370404963593
12,-84.95058071413979
13,-82.49958028309365
14,-167.83818842660293
15,-113.22293461639157
16,-387.19217089238015
17,-150.18741835579985
18,-114.60455408972635
19,-247.82710897386136
20,-216.922004430469
21,-104.06618119170021
22,-106.52078613619183
23,-71.59513860676785
24,-354.61344785243125
25,-145.5748096522045
26,-120.3303925216079
27,-0.07166835469256227
28,-191.84953207995278
29,-197.9062835412824
30,-238.54296595788182
31,-160.88325268954367
32,-216.58382255646114
33,-120.55115474663538
34,-124.00791589138157
35,-280.7196341192091
36,-130.5106788108133
37,-143.8310532207954
38,-103.9178867659012
39,-122.93049060137847
40,-100.40496403411757
41,-99.81391153632184
42,-130.373553778529
43,-185.3408742422833
44,21.540924930215766
45,-259.97188517894074
46,-87.18474343287618
47,-105.74055311926578
48,-321.32257948130814
49,-128.88517208319513
50,-90.49506883809059
51,-102.99912814986833
52,-165.48884756338566
53,-124.54876590920406
54,-232.15054068938028
55,-62.91721380929093
56,-127.66273327180568
57,-88.30271899866702
58,-88.50504534026022
59,-76.09726875617571
60,-214.07135207817947
61,-133.39456728315594
62,-30.133490348353817
63,-108.49186509391694
64,-20.782690618208704
65,-119.60175834688056
66,-81.00061968421528
67,-154.53455351348524
68,-90.16027523509158
69,-91.57781601240237
70,-160.6268413458149
71,-4.5484655153025955
72,-98.44156142924528
73,-105.36539049092214
74,12.79772665462896
75,-82.6735609111333
76,-183.6491868773304
77,-65.26858174306008
78,-286.756251217481
79,-103.14130334760947
80,-76.13828942657804
81,-93.58259951303627
82,-31.989063849479393
83,-71.75179516160279
84,-84.08111479532026
85,-80.50482918684266
86,-114.02247164419721
87,-118.52561037253292
88,-94.90754976623009
89,-178.90135313670012
90,-68.18900363186941
91,-208.0787549890814
92,-156.37226705776283
93,-121.54129840275748
94,-51.62980546111285
95,-88.92703248513136
96,-0.5369895060019871
97,-93.6568656467024
98,-106.61103013325385
99,-62.78419993752669
100,-123.10833813128818
101,-53.731771676850755
102,-81.4272664824297
103,-141.17998064666412
104,-58.15570376297586
105,-103.95927837302578
106,-79.01573941567754
107,-141.6305985593199
108,-172.72207707597045
109,-114.11646923563697
110,-7.968845378834459
111,-111.32525723787641
112,-144.81330354835578
113,-120.25457277228676
114,-49.71968156366965
115,-202.5719234727468
116,-109.70771300153088
117,-100.5818515289616
118,-208.85991917650767
119,-85.11349618231955
120,-13.24238144077593
121,-45.616538590065176
122,-165.64657939949836
123,-66.14249119463574
124,-43.04132105152065
125,-34.06079191325365
126,-40.39624523364023
127,6.65807437310427
128,-54.06485443671242
129,-41.73326713614719
130,-27.463427235629425
131,-162.30258575264236
132,-55.513231849292104
133,-112.90489621985017
134,-22.199596322285785
135,-64.91085847357671
136,-57.813860260330294
137,-115.72343589107061
138,-88.43877465944067
139,-41.4620823166901
140,-90.25575512149953
141,0.7741599541545696
142,-112.05444879951334
143,-90.8104937422133
144,-94.97039662072996
145,-124.75114570818054
146,-47.016995506765866
147,-117.14815602474815
148,-52.104835974648495
149,-69.99227342306546
150,-66.8586878944399
151,-110.22887932254291
152,-69.26407651314663
153,-37.95014351538887
154,-79.76508484453528
155,-116.04003749696095
156,-49.83743790672792
157,-117.27779421964269
158,-79.66188675422141
159,-63.377863960272855
160,-265.8487624104515
161,-77.71619011603545
162,31.38358098267159
163,-90.55322544884848
164,-25.25124268126652
165,-50.517769928802096
166,-109.66486407272903
167,-46.48013500807956
168,-97.16966647434093
169,-5.999015574695406
170,-53.27767856455844
171,-43.659444243332416
172,-133.32489709148388
173,-197.39516287937192
174,-48.122764215270536
175,-36.2605042884735
176,-108.34089170988852
177,-72.22558989701623
178,-71.09323500077122
179,-73.24228496629294
180,13.004189044395915
181,-15.367631569626681
182,-31.915385246253962
183,-224.05532693405826
184,-39.18073609375953
185,-38.493546849996164
186,-157.23775204481132
187,-70.05975298396488
188,-29.393660935775173
189,-41.18429766675569
190,22.752955876229876
191,-84.29986529525
192,-62.95936639268179
193,-28.067501177833222
194,-66.68195216529564
195,-35.743429424322
196,-33.89270740329394
197,-43.99189566309741
198,-55.149632018104086
199,-45.12910116601422
200,-55.57962427969723
201,-68.67207844014987
202,16.66452969347573
203,-50.12925946664596
204,-44.29134734566343
205,-67.96670888864085
206,-194.20346540836073
207,-51.492949129319825
208,-112.43734485767925
209,30.12775790382551
210,-20.353938777746748
211,-79.2516638888477
212,-33.64761546275773
213,-31.013300205571497
214,-167.9771135125589
215,-48.38448014095877
216,32.18323947831789
217,25.400799684347916
218,-8.320668948668356
219,-78.98620574317559
220,-45.78007813205575
221,12.784202848452267
222,-19.663534470370593
223,-73.15424894300625
224,-22.016264294315278
225,-81.52533693568124
226,-88.71958740801985
227,-77.20858843643241
228,-28.65347196424061
229,-238.35021650559148
230,-174.49245022935
231,-23.779565570499116
232,-133.88193376595703
233,-59.0813623133277
234,-17.291886716994753
235,-22.099247217199746
236,-83.6105355908499
237,-36.268488975509484
238,-30.206723143669947
239,28.225436151718867
240,-18.432030873433575
241,1.4458713466243864
242,-58.404318811519914
243,-50.909462078497455
244,-74.93476347764435
245,-69.95687319252654
246,-24.476159539949535
247,14.418748970919324
248,-76.91288219819836
249,-101.2983716035479
250,-217.29089790326026
251,-36.283105878986206
252,-44.538358246048574
253,-30.000378675972343
254,-39.117308116039595
255,-20.457763815918582
256,18.33208012591375
257,-17.03910160230633
258,-23.709978695292264
259,-62.58219876826273
260,-72.47915604740614
261,-50.838923422356004
262,-69.73327529684487
263,-38.781449463905176
264,-42.924707094745486
265,-10.550060092163633
266,-69.42603314938505
267,-27.095965320067705
268,-23.868360804321583
269,-296.35688592834197
270,-39.55128264316823
271,-33.251231538902346
272,-156.49378270962157
273,16.311750651648524
274,-45.08904982717047
275,-64.0747680824237
276,-150.72976418476296
277,-45.70727553003417
278,-128.75673619938382
279,-61.06561576816512
280,-37.21934272813432
281,-41.34055632396314
282,37.14551150036934
283,-4.67126081115893
284,-5.099400766962702
285,-42.60820300142764
286,13.405964003616376
287,-62.60075976524386
288,-296.7275952681024
289,-67.70187603055757
290,-104.87686775951259
291,-9.517119313299787
292,-38.99653996236529
293,-63.44996732285598
294,-103.17865064459127
295,-170.98129454224056
296,-19.892170383068517
297,13.691978808324833
298,-9.305794253833213
299,-204.76676643974957
300,-39.076001061239594
301,-131.06736410606976
302,-166.25795708925813
303,-252.27940204723376
304,6.135737725322045
305,-165.65857403335863
306,-32.80644452373886
307,-42.29942056555731
308,-88.61216660997025
309,-285.003878101787
310,-90.40457270197338
311,-168.8697736037593
312,1.6369248275418329
313,-22.233020092351083
314,-1.7619751667208163
315,-191.3894852152929
316,-98.47442683142127
317,1.208934346891482
318,-223.26535668071682
319,-151.40583336622566
320,-191.4623919561643
321,-98.31306779290271
322,-134.62421836484276
323,-114.35051555249387
324,-131.31735797608314
325,31.127632660158667
326,-116.87781617136176
327,-45.40813927524589
328,-189.23215408518013
329,-251.43248936604792
330,-163.2288812055032
331,-156.2652359880491
332,-158.87850559647154
333,-129.2386950040109
334,-163.80154435941438
335,-159.68774027299608
336,-116.1811077656549
337,-115.46770170087592
338,-143.7390741884119
339,-216.8249975034187
340,-186.94259249974112
341,-236.31515563333983
342,-120.17034473877595
343,-158.51336836610875
344,-50.53927277972992
345,-23.482557971054035
346,19.009221364340704
347,-117.09419002203339
348,-147.5070241150369
349,-12.980682788506769
350,-108.07495277851486
351,-10.1767433657742
352,-98.01400095220993
353,-169.17671442602352
354,-95.80451002277597
355,-1.5411910988451547
356,-22.28790144718951
357,-92.72505276093364
358,-90.99520554181817
359,-300.90210442423034
360,-50.75438806037855
361,-34.58761263379169
362,-96.57617388196479
363,-40.87489170736881
364,-2.045773768062014
365,-23.584483846022398
366,-16.31063292819763
367,-156.9660137665727
368,-40.13422940096217
369,-44.71382074391842
370,-15.865213880373814
371,-2.3702359799954884
372,-71.5017760771466
373,-53.75029887153309
374,-5.9676180441202575
375,-54.9559147510638
376,-25.603743435966834
377,-31.22224255492657
378,-84.49014582900982
379,-124.29617555775695
380,-227.78077908802135
381,-52.42510542199737
382,-42.620735344188695
383,-59.46495343987484
384,-61.20494339069564
385,2.2042790100999525
386,23.069958181212584
387,77.43725324619292
388,29.594838357527326
389,-86.53658860384203
390,-0.1866330262082192
391,69.54930044957837
392,74.93223121123563
393,11.886244743990888
394,-26.611903030864127
395,172.48702680711102
396,45.423737825127525
397,74.45351386781286
398,212.18446756091768
399,169.77638465685686
400,-32.40371323831679
401,-72.32215716719966
402,-264.55274894303693
403,43.12272513145699
404,42.59624323390425
405,104.22522413411924
406,-24.19293407837943
407,-61.62067707888717
408,196.66107083851986
409,119.88754637349373
410,127.91778140070907
411,200.85677628413617
412,127.32032995739583
413,-217.26812388585523
414,126.6310435641969
415,0.3441561944425947
416,-74.43801247911006
417,107.85027687677771
418,-58.67970823221059
419,117.05965437286837
420,1.3497290888920679
421,-70.4425295835045
422,235.25587893579288
423,226.2698158022321
424,205.06123938041236
425,75.03505491043761
426,70.08482922250009
427,262.9516149937349
428,248.51883432714754
429,-137.81795754219178
430,250.20660394330318
431,229.48396938946323
432,78.95569775145147
433,276.80819806222917
434,225.76756940956557
435,266.75066554258296
436,260.4250899539045
437,117.61561481637247
438,286.1167092351827
439,241.01382570231561
440,216.08340380041423
441,281.3305608310762
442,220.042137962399
443,237.78974590862984
444,-131.14646366556082
445,79.96966062712205
446,237.88758173306852
447,83.60403707099208
448,-234.16350498508916
449,-246.9571376598964
450,124.2392938783938
451,280.2279719913399
452,255.8225173657942
453,184.87293546151483
454,270.43591642961815
455,271.80755536177355
456,248.17926858721034
457,241.6829389937246
458,212.88346362358396
459,-28.8245180397428
460,220.852802216904
461,239.04679002099405
462,268.7240781037431
463,294.3414994049129
464,261.9933702401596
465,221.89231578577113
466,196.63867652443855
467,215.70781753941907
468,210.56626166369097
469,232.82937297099798
470,148.5859954980447
471,217.47718529059546
472,208.77058124440987
473,242.62696829019868
474,-158.6867232367103
475,191.01195486688215
476,254.2799948911245
477,222.46959751671062
478,261.8664459567324
479,197.84588772741756
480,270.89624216924597
481,283.0857437444088
482,299.7506392171763
483,248.20811587953048
484,261.19691356146717
485,250.86291276635063
486,-42.26306332116435
487,257.6435277506863
488,287.9137350801858
489,218.44394115169746
490,-102.50030264946719
491,287.21746118869174
492,269.76556007900706
493,207.44907575160775
494,203.7087528940655
495,-82.5818359651159
496,286.60398056613394
497,-307.7366059296691
498,264.475649012643
499,243.02654895907312
500,263.723594947945
501,246.53096858738186
502,238.20405712859622
503,-89.94967321571662
504,258.092135634819
505,257.5632161001615
506,177.2073968325831
507,176.23277827851598
508,262.6464157904586
509,219.27153747172918
510,280.85081535496636
511,226.4387940874398
512,266.8389851489875
513,175.38969659447787
514,261.98732719284106
515,196.98998472858466
516,254.31376494986193
517,262.7454009383007
518,250.91279220858067
519,278.2212595496138
520,273.0845551947298
521,269.8918122515079
522,216.87154323674642
523,242.65396601380695
524,260.0838067274557
525,257.8885556909437
526,-23.602673910079588
527,207.30692361280762
528,233.99851930550722
529,291.2455101981154
530,217.51231326595598
531,234.57018895368407
532,260.5385497625357
533,264.219962009748
534,221.2271534645317
535,227.31862738857532
536,165.20496475474033
537,11.134742224209404
538,190.11970927529774
539,-17.40199744908685
540,-160.22795006231803
541,212.56193634409235
542,207.61564034600468
543,220.3610381760712
544,206.45295700199415
545,1.7357790619306996
546,230.13514305377072
547,20.787307276995932
548,278.3736661683407
549,257.49553013885156
550,208.94908844499307
551,214.27809663290952
552,281.0632019289341
553,-26.36304289838712
554,183.11661096686657
555,-5.706631996304381
556,236.06270945304402
557,239.54609416890972
558,-54.55546368442661
559,279.5636921800118
560,213.12028646979692
561,201.65073244291096
562,243.27923123095107
563,-174.48773001351066
564,271.6285208450711
565,-27.10416099152002
566,284.96689683129665
567,247.91691621185004
568,274.4610615667595
569,277.61308068932135
570,236.38156248106276
571,226.63101420528795
572,283.79472166884784
573,248.32420588819872
574,279.5537039963138
575,276.94962235732316
576,224.00513609551433
577,-70.61902797643451
578,176.76703981650405
579,294.8671822029266
580,230.59548388308457
581,230.71626322051193
582,232.8948705131775
583,260.96076601093887
584,254.6803072240057
585,285.41500509576576
586,212.32963150593412
587,291.29537259013625
588,254.1753599315368
589,248.78608033217785
590,232.55636040422644
591,187.35234257728672
592,270.4760811914779
593,243.94903128751494
594,211.00594836157603
595,-65.7781668913151
596,181.9349110986531
597,227.39322739099947
598,240.47353346069113
599,204.74589930991772
600,248.34305947566577
601,-60.10056219491399
602,251.14677625339718
603,235.08438595985135
604,232.6756508401251
605,204.92413345973287
606,-557.5221933382593
607,241.17807906892193
608,246.3837680074984
609,187.2965010782288
610,254.02767678101768
611,221.34344416314363
612,219.56939771774105
613,222.70646258581172
614,278.2476938680352
615,-13.933677309214502
616,244.10399738854017
617,251.6963534869238
618,252.87086331297
619,273.02502424914644
620,261.4190194984302
621,274.2918522985443
622,237.0700544478303
623,-10.014208490175193
624,241.76054360174572
625,261.15083118510427
626,264.64442752432075
627,255.57325092452558
628,254.0306930253907
629,238.82480265024563
630,223.93525932400084
631,215.77748676523382
632,276.42128370605485
633,286.93737606292177
634,268.30137678527046
635,201.25586837838642
636,173.39458241790123
637,224.71570938780616
638,268.73708059600926
639,242.41432478620982
640,269.2285454704026
641,244.55744822139883
642,261.69840959551925
643,240.01076766397236
644,289.8489210542566
645,217.20731444737368
646,251.4176671528213
647,262.89742441521224
648,240.44055229162325
649,228.35280852605808
650,254.58105064361155
651,240.44131113525225
652,241.2655464366171
653,253.0316256104439
654,229.45419884846885
655,232.303205840371
656,254.7462218897803
657,239.8311204598704
658,208.88025553731643
